epoch,accumulate_m0_day,accumulate_retain,accumulate_degrade,accumulate_usage_plus_870,accumulate_usage_plus_3716,accumulate_usage_plus_3718,scour_C1,scour_C2,scour_B1,scour_B2,R2,NSE,TIC,MSE,MAE,MSLE,,,
83,3.042378923,0.969492372,0.898792902,0.602544756,0.972280746,1.045923638,0.004562814,0.298665477,0.449312705,0.410022613,0.000332825,-0.213402031,0.542553439,19.4938419,2.353679154,0.574334278,,,
84,3.042378927,0.969492533,0.898792826,0.602545048,0.972280761,1.045923419,0.004555836,0.298665081,0.449312673,0.41002264,0.000333024,-0.213372688,0.542837528,19.49337048,2.352129517,0.574333314,,,
85,3.04237893,0.969492712,0.898792773,0.602545339,0.972280777,1.045923203,0.004549398,0.298664677,0.44931264,0.410022667,0.000333208,-0.213347679,0.543100245,19.49296871,2.35070037,0.574334047,,,
86,3.042378933,0.969492908,0.898792741,0.60254563,0.972280793,1.045922989,0.004543458,0.298664264,0.449312608,0.410022693,0.000333376,-0.213326358,0.54334314,19.49262617,2.34938236,0.574336103,,,
87,3.042378936,0.969493121,0.898792729,0.602545921,0.972280808,1.045922777,0.004537979,0.298663843,0.449312576,0.41002272,0.000333531,-0.213308173,0.54356766,19.49233402,2.348166858,0.574339173,,,
88,3.042378939,0.969493347,0.898792734,0.602546212,0.972280824,1.045922567,0.004532924,0.298663416,0.449312544,0.410022747,0.000333673,-0.213292655,0.543775152,19.49208471,2.347045905,0.574343002,,,
89,3.042378942,0.969493587,0.898792755,0.602546502,0.97228084,1.045922359,0.004528261,0.298662983,0.449312512,0.410022774,0.000333804,-0.213279405,0.543966872,19.49187185,2.346012156,0.574347382,,,
90,3.042378946,0.969493839,0.898792792,0.602546792,0.972280857,1.045922153,0.004523958,0.298662544,0.44931248,0.4100228,0.000333924,-0.213268083,0.544143989,19.49168997,2.345058835,0.57435214,,,
91,3.042378949,0.969494103,0.898792842,0.602547082,0.972280873,1.045921948,0.004519988,0.298662099,0.449312449,0.410022827,0.000334034,-0.213258403,0.544307588,19.49153444,2.344179691,0.574357139,,,
92,3.042378952,0.969494377,0.898792905,0.602547372,0.972280889,1.045921745,0.004516324,0.298661649,0.449312417,0.410022854,0.000334135,-0.213250117,0.544458679,19.49140133,2.34336896,0.574362266,,,
